transcription,audio_path
Não há evidência de fratura ou deslocamento ósseo.,dataset_elevenlabs_llm+tts/0.mp3
Observa-se alinhamento ósseo normal.,dataset_elevenlabs_llm+tts/1.mp3
O espaço articular está preservado.,dataset_elevenlabs_llm+tts/2.mp3
Não se identifica esclerose ou erosão óssea.,dataset_elevenlabs_llm+tts/3.mp3
Visualiza-se sombra de partes moles de aspecto normal.,dataset_elevenlabs_llm+tts/4.mp3
Observa-se osteopenia difusa.,dataset_elevenlabs_llm+tts/5.mp3
Ausência de lesões osteolíticas ou osteoblásticas.,dataset_elevenlabs_llm+tts/6.mp3
Calcificação dos tecidos moles periarticulares.,dataset_elevenlabs_llm+tts/7.mp3
Esclerose subcondral presente.,dataset_elevenlabs_llm+tts/8.mp3
Não há sinais de desgaste articular significativo.,dataset_elevenlabs_llm+tts/9.mp3
Ausência de corpos estranhos radiopacos.,dataset_elevenlabs_llm+tts/10.mp3
O espaço discal entre as vértebras está preservado.,dataset_elevenlabs_llm+tts/11.mp3
A densidade óssea está dentro dos limites normais.,dataset_elevenlabs_llm+tts/12.mp3
Não há sinais de osteoartrite avançada.,dataset_elevenlabs_llm+tts/13.mp3
Presença de cisto subcondral.,dataset_elevenlabs_llm+tts/14.mp3
A integridade cortical está mantida.,dataset_elevenlabs_llm+tts/15.mp3
Não há evidências de lesões expansivas ósseas.,dataset_elevenlabs_llm+tts/16.mp3
Observa-se osteoartrite incipiente.,dataset_elevenlabs_llm+tts/17.mp3
A arquitetura trabecular está preservada.,dataset_elevenlabs_llm+tts/18.mp3
Aumento de partes moles periarticulares.,dataset_elevenlabs_llm+tts/19.mp3
Calcificação vascular nas proximidades.,dataset_elevenlabs_llm+tts/20.mp3
Observam-se sinais de entesopatia.,dataset_elevenlabs_llm+tts/21.mp3
Não há sinais de luxação articular.,dataset_elevenlabs_llm+tts/22.mp3
A articulação acromioclavicular está preservada.,dataset_elevenlabs_llm+tts/23.mp3
Visualiza-se osteocondroma na metáfise.,dataset_elevenlabs_llm+tts/24.mp3
Ausência de fratura por estresse.,dataset_elevenlabs_llm+tts/25.mp3
A densidade mineral óssea está reduzida.,dataset_elevenlabs_llm+tts/26.mp3
Não há sinais de osteomielite.,dataset_elevenlabs_llm+tts/27.mp3
Observa-se periostite reacional.,dataset_elevenlabs_llm+tts/28.mp3
A articulação glenoumeral está dentro dos padrões normais.,dataset_elevenlabs_llm+tts/29.mp3
O saco subacromial está normal.,dataset_elevenlabs_llm+tts/30.mp3
Ausência de calcificação do manguito rotador.,dataset_elevenlabs_llm+tts/31.mp3
Não se observa esclerose marginal.,dataset_elevenlabs_llm+tts/32.mp3
Há presença de osteófito marginal.,dataset_elevenlabs_llm+tts/33.mp3
Não há sinais de inflamação óssea.,dataset_elevenlabs_llm+tts/34.mp3
Observa-se cisto de Baker.,dataset_elevenlabs_llm+tts/35.mp3
A cartilagem articular do joelho está conservada.,dataset_elevenlabs_llm+tts/36.mp3
Visualiza-se alargamento do espaço sinovial.,dataset_elevenlabs_llm+tts/37.mp3
Ausência de irregularidade cortical.,dataset_elevenlabs_llm+tts/38.mp3
Não há sinais de erosões marginais.,dataset_elevenlabs_llm+tts/39.mp3
Observa-se osteonecrose no fêmur.,dataset_elevenlabs_llm+tts/40.mp3
A margem da cavidade glenoidal está íntegra.,dataset_elevenlabs_llm+tts/41.mp3
O colo femoral está bem delineado.,dataset_elevenlabs_llm+tts/42.mp3
Densidade óssea preservada na pelve.,dataset_elevenlabs_llm+tts/43.mp3
Observa-se sinal de tendinopatia no ombro.,dataset_elevenlabs_llm+tts/44.mp3
Não há desalinhamento vertebral.,dataset_elevenlabs_llm+tts/45.mp3
A curvatura natural da coluna está preservada.,dataset_elevenlabs_llm+tts/46.mp3
Visualiza-se espondilólise em L5.,dataset_elevenlabs_llm+tts/47.mp3
Ausência de espondilolistese.,dataset_elevenlabs_llm+tts/48.mp3
Não há sinais de compressão radicular.,dataset_elevenlabs_llm+tts/49.mp3
Observa-se osteofitose marginal.,dataset_elevenlabs_llm+tts/50.mp3
O disco intervertebral está conservado.,dataset_elevenlabs_llm+tts/51.mp3
Ausência de sinal de hérnia de disco.,dataset_elevenlabs_llm+tts/52.mp3
A lordose lombar está preservada.,dataset_elevenlabs_llm+tts/53.mp3
Observa-se densidade óssea normal nos corpos vertebrais.,dataset_elevenlabs_llm+tts/54.mp3
Não há sinais de discopatia degenerativa.,dataset_elevenlabs_llm+tts/55.mp3
O eixo mecânico do membro inferior está preservado.,dataset_elevenlabs_llm+tts/56.mp3
Ausência de desalinhamento femorotibial.,dataset_elevenlabs_llm+tts/57.mp3
Observa-se crescimento ósseo compatível com a idade.,dataset_elevenlabs_llm+tts/58.mp3
Presença de cisto ósseo simples.,dataset_elevenlabs_llm+tts/59.mp3
Não há evidência de pseudartrose.,dataset_elevenlabs_llm+tts/60.mp3
A amplitude articulação sacroilíaca está normal.,dataset_elevenlabs_llm+tts/61.mp3
Observa-se configuração óssea normal das mãos.,dataset_elevenlabs_llm+tts/62.mp3
Ausência de sinais de artrite reumatoide.,dataset_elevenlabs_llm+tts/63.mp3
Não há achados compatíveis com gota.,dataset_elevenlabs_llm+tts/64.mp3
Observa-se preservação das falanges.,dataset_elevenlabs_llm+tts/65.mp3
A articulação coxofemoral está preservada.,dataset_elevenlabs_llm+tts/66.mp3
Ausência de sinais de impacto femoroacetabular.,dataset_elevenlabs_llm+tts/67.mp3
A fíbula está alinhada.,dataset_elevenlabs_llm+tts/68.mp3
Observa-se esclerose óssea subcondral.,dataset_elevenlabs_llm+tts/69.mp3
Não há evidência de sinovite.,dataset_elevenlabs_llm+tts/70.mp3
O tendão de Aquiles está preservado.,dataset_elevenlabs_llm+tts/71.mp3
Visualiza-se calcificação de tendão.,dataset_elevenlabs_llm+tts/72.mp3
Não há deslocamento de patela.,dataset_elevenlabs_llm+tts/73.mp3
Observa-se linha de fratura bem alinhada.,dataset_elevenlabs_llm+tts/74.mp3
A tíbia está intacta.,dataset_elevenlabs_llm+tts/75.mp3
Ausência de encurtamento ósseo.,dataset_elevenlabs_llm+tts/76.mp3
Observa-se formação de calo ósseo.,dataset_elevenlabs_llm+tts/77.mp3
O periósteo está bem aderido.,dataset_elevenlabs_llm+tts/78.mp3
Não há sinais de exostose.,dataset_elevenlabs_llm+tts/79.mp3
Observa-se congruência articular.,dataset_elevenlabs_llm+tts/80.mp3
A articulação temporomandibular está preservada.,dataset_elevenlabs_llm+tts/81.mp3
Não há sinais de osteólise.,dataset_elevenlabs_llm+tts/82.mp3
Ausência de fratura de estresse no metatarso.,dataset_elevenlabs_llm+tts/83.mp3
