transcription,audio_path
Não há evidência de fratura ou deslocamento ósseo.,dataset_gcloud_llm+tts/0.wav
Observa-se alinhamento ósseo normal.,dataset_gcloud_llm+tts/1.wav
O espaço articular está preservado.,dataset_gcloud_llm+tts/2.wav
Não se identifica esclerose ou erosão óssea.,dataset_gcloud_llm+tts/3.wav
Visualiza-se sombra de partes moles de aspecto normal.,dataset_gcloud_llm+tts/4.wav
Observa-se osteopenia difusa.,dataset_gcloud_llm+tts/5.wav
Ausência de lesões osteolíticas ou osteoblásticas.,dataset_gcloud_llm+tts/6.wav
Calcificação dos tecidos moles periarticulares.,dataset_gcloud_llm+tts/7.wav
Esclerose subcondral presente.,dataset_gcloud_llm+tts/8.wav
Não há sinais de desgaste articular significativo.,dataset_gcloud_llm+tts/9.wav
Ausência de corpos estranhos radiopacos.,dataset_gcloud_llm+tts/10.wav
O espaço discal entre as vértebras está preservado.,dataset_gcloud_llm+tts/11.wav
A densidade óssea está dentro dos limites normais.,dataset_gcloud_llm+tts/12.wav
Não há sinais de osteoartrite avançada.,dataset_gcloud_llm+tts/13.wav
Presença de cisto subcondral.,dataset_gcloud_llm+tts/14.wav
A integridade cortical está mantida.,dataset_gcloud_llm+tts/15.wav
Não há evidências de lesões expansivas ósseas.,dataset_gcloud_llm+tts/16.wav
Observa-se osteoartrite incipiente.,dataset_gcloud_llm+tts/17.wav
A arquitetura trabecular está preservada.,dataset_gcloud_llm+tts/18.wav
Aumento de partes moles periarticulares.,dataset_gcloud_llm+tts/19.wav
Calcificação vascular nas proximidades.,dataset_gcloud_llm+tts/20.wav
Observam-se sinais de entesopatia.,dataset_gcloud_llm+tts/21.wav
Não há sinais de luxação articular.,dataset_gcloud_llm+tts/22.wav
A articulação acromioclavicular está preservada.,dataset_gcloud_llm+tts/23.wav
Visualiza-se osteocondroma na metáfise.,dataset_gcloud_llm+tts/24.wav
Ausência de fratura por estresse.,dataset_gcloud_llm+tts/25.wav
A densidade mineral óssea está reduzida.,dataset_gcloud_llm+tts/26.wav
Não há sinais de osteomielite.,dataset_gcloud_llm+tts/27.wav
Observa-se periostite reacional.,dataset_gcloud_llm+tts/28.wav
A articulação glenoumeral está dentro dos padrões normais.,dataset_gcloud_llm+tts/29.wav
O saco subacromial está normal.,dataset_gcloud_llm+tts/30.wav
Ausência de calcificação do manguito rotador.,dataset_gcloud_llm+tts/31.wav
Não se observa esclerose marginal.,dataset_gcloud_llm+tts/32.wav
Há presença de osteófito marginal.,dataset_gcloud_llm+tts/33.wav
Não há sinais de inflamação óssea.,dataset_gcloud_llm+tts/34.wav
Observa-se cisto de Baker.,dataset_gcloud_llm+tts/35.wav
A cartilagem articular do joelho está conservada.,dataset_gcloud_llm+tts/36.wav
Visualiza-se alargamento do espaço sinovial.,dataset_gcloud_llm+tts/37.wav
Ausência de irregularidade cortical.,dataset_gcloud_llm+tts/38.wav
Não há sinais de erosões marginais.,dataset_gcloud_llm+tts/39.wav
Observa-se osteonecrose no fêmur.,dataset_gcloud_llm+tts/40.wav
A margem da cavidade glenoidal está íntegra.,dataset_gcloud_llm+tts/41.wav
O colo femoral está bem delineado.,dataset_gcloud_llm+tts/42.wav
Densidade óssea preservada na pelve.,dataset_gcloud_llm+tts/43.wav
Observa-se sinal de tendinopatia no ombro.,dataset_gcloud_llm+tts/44.wav
Não há desalinhamento vertebral.,dataset_gcloud_llm+tts/45.wav
A curvatura natural da coluna está preservada.,dataset_gcloud_llm+tts/46.wav
Visualiza-se espondilólise em L5.,dataset_gcloud_llm+tts/47.wav
Ausência de espondilolistese.,dataset_gcloud_llm+tts/48.wav
Não há sinais de compressão radicular.,dataset_gcloud_llm+tts/49.wav
Observa-se osteofitose marginal.,dataset_gcloud_llm+tts/50.wav
O disco intervertebral está conservado.,dataset_gcloud_llm+tts/51.wav
Ausência de sinal de hérnia de disco.,dataset_gcloud_llm+tts/52.wav
A lordose lombar está preservada.,dataset_gcloud_llm+tts/53.wav
Observa-se densidade óssea normal nos corpos vertebrais.,dataset_gcloud_llm+tts/54.wav
Não há sinais de discopatia degenerativa.,dataset_gcloud_llm+tts/55.wav
O eixo mecânico do membro inferior está preservado.,dataset_gcloud_llm+tts/56.wav
Ausência de desalinhamento femorotibial.,dataset_gcloud_llm+tts/57.wav
Observa-se crescimento ósseo compatível com a idade.,dataset_gcloud_llm+tts/58.wav
Presença de cisto ósseo simples.,dataset_gcloud_llm+tts/59.wav
Não há evidência de pseudartrose.,dataset_gcloud_llm+tts/60.wav
A amplitude articulação sacroilíaca está normal.,dataset_gcloud_llm+tts/61.wav
Observa-se configuração óssea normal das mãos.,dataset_gcloud_llm+tts/62.wav
Ausência de sinais de artrite reumatoide.,dataset_gcloud_llm+tts/63.wav
Não há achados compatíveis com gota.,dataset_gcloud_llm+tts/64.wav
Observa-se preservação das falanges.,dataset_gcloud_llm+tts/65.wav
A articulação coxofemoral está preservada.,dataset_gcloud_llm+tts/66.wav
Ausência de sinais de impacto femoroacetabular.,dataset_gcloud_llm+tts/67.wav
A fíbula está alinhada.,dataset_gcloud_llm+tts/68.wav
Observa-se esclerose óssea subcondral.,dataset_gcloud_llm+tts/69.wav
Não há evidência de sinovite.,dataset_gcloud_llm+tts/70.wav
O tendão de Aquiles está preservado.,dataset_gcloud_llm+tts/71.wav
Visualiza-se calcificação de tendão.,dataset_gcloud_llm+tts/72.wav
Não há deslocamento de patela.,dataset_gcloud_llm+tts/73.wav
Observa-se linha de fratura bem alinhada.,dataset_gcloud_llm+tts/74.wav
A tíbia está intacta.,dataset_gcloud_llm+tts/75.wav
Ausência de encurtamento ósseo.,dataset_gcloud_llm+tts/76.wav
Observa-se formação de calo ósseo.,dataset_gcloud_llm+tts/77.wav
O periósteo está bem aderido.,dataset_gcloud_llm+tts/78.wav
Não há sinais de exostose.,dataset_gcloud_llm+tts/79.wav
Observa-se congruência articular.,dataset_gcloud_llm+tts/80.wav
A articulação temporomandibular está preservada.,dataset_gcloud_llm+tts/81.wav
Não há sinais de osteólise.,dataset_gcloud_llm+tts/82.wav
Ausência de fratura de estresse no metatarso.,dataset_gcloud_llm+tts/83.wav
Observa-se densidade óssea adequada no quadril.,dataset_gcloud_llm+tts/84.wav
Não há sinais de espessamento corticais.,dataset_gcloud_llm+tts/85.wav
A segunda costela está preservada.,dataset_gcloud_llm+tts/86.wav
Visualiza-se densidade normal da escápula.,dataset_gcloud_llm+tts/87.wav
Ausência de desalinhamento umeral.,dataset_gcloud_llm+tts/88.wav
Observa-se regularidade de margem cortical.,dataset_gcloud_llm+tts/89.wav
Não há sinais de lesão tumoral.,dataset_gcloud_llm+tts/90.wav
A epífise proximal do úmero está preservada.,dataset_gcloud_llm+tts/91.wav
A densidade óssea está homogênea.,dataset_gcloud_llm+tts/92.wav
Não há sinais de artrite psoriática.,dataset_gcloud_llm+tts/93.wav
Observa-se preservação do espaço interfalangiano.,dataset_gcloud_llm+tts/94.wav
Ausência de espessamento sinovial.,dataset_gcloud_llm+tts/95.wav
A clavícula está encaixada.,dataset_gcloud_llm+tts/96.wav
Visualiza-se ausência de esclerose óssea.,dataset_gcloud_llm+tts/97.wav
Não há sinais de necrose avascular.,dataset_gcloud_llm+tts/98.wav
O rádio está bem posicionado.,dataset_gcloud_llm+tts/99.wav
Observa-se normalidade na coluna torácica.,dataset_gcloud_llm+tts/100.wav
Ausência de osteoporose severa.,dataset_gcloud_llm+tts/101.wav
A densidade óssea está reduzida na coluna lombar.,dataset_gcloud_llm+tts/102.wav
Não há sinais de colapso vertebral.,dataset_gcloud_llm+tts/103.wav
Observa-se encapsulamento ósseo.,dataset_gcloud_llm+tts/104.wav
A articulação facetária está preservada.,dataset_gcloud_llm+tts/105.wav
Ausência de sinais de coxartrose.,dataset_gcloud_llm+tts/106.wav
O alinhamento do tornozelo está normal.,dataset_gcloud_llm+tts/107.wav
Observa-se esclerose óssea na coluna vertebral.,dataset_gcloud_llm+tts/108.wav
Não há sinais de paresia.,dataset_gcloud_llm+tts/109.wav
A altura do disco intervertebral está conservada.,dataset_gcloud_llm+tts/110.wav
Observa-se ausência de osteofito discal.,dataset_gcloud_llm+tts/111.wav
Ausência de desalinhamento das vértebras cervicais.,dataset_gcloud_llm+tts/112.wav
O eixo da coluna está mantido.,dataset_gcloud_llm+tts/113.wav
Visualiza-se espondiloartrose leve.,dataset_gcloud_llm+tts/114.wav
Não há sinais de inflamação muscular.,dataset_gcloud_llm+tts/115.wav
O alinhamento das curvas cervicais está normal.,dataset_gcloud_llm+tts/116.wav
Observa-se redução do espaço articular no quadril.,dataset_gcloud_llm+tts/117.wav
Ausência de lesão periarticular.,dataset_gcloud_llm+tts/118.wav
Visualiza-se espessamento do tendão patelar.,dataset_gcloud_llm+tts/119.wav
Não há sinais de distensão ligamentar.,dataset_gcloud_llm+tts/120.wav
O menisco medial está preservado.,dataset_gcloud_llm+tts/121.wav
